,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,day
2,frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Baby Spinach'}),0.12958310577098126,0.09619515747314764,0.02137265610777353,0.1649339702163529,1.7145766434489524,0.008907388842274442,1.0823154221241815,Sun
61,frozenset({'Organic Baby Spinach'}),frozenset({'Organic Avocado'}),0.09619515747314764,0.07394866193336974,0.015547059894411068,0.16161998485995457,2.185570105454777,0.008433556714802008,1.10457229578873,Sun
76,frozenset({'Organic Strawberries'}),frozenset({'Organic Hass Avocado'}),0.10209357363917713,0.06906972510467868,0.0160932095394138,0.15763195435092725,2.282214879413926,0.009041634473201565,1.1051348394608302,Sun
79,frozenset({'Organic Strawberries'}),frozenset({'Organic Raspberries'}),0.10209357363917713,0.050172947387584196,0.015656289823411614,0.15335235378031384,3.056474888662061,0.010533954324602727,1.1218681784015223,Sun
50,frozenset({'Organic Baby Spinach'}),frozenset({'Large Lemon'}),0.09619515747314764,0.08086655743673767,0.014563990533406153,0.1514004542013626,1.8722257877714652,0.006785019306467835,1.0831179996664313,Sun
55,frozenset({'Organic Avocado'}),frozenset({'Limes'}),0.07394866193336974,0.058692881849626795,0.011177862734389223,0.15115706548498278,2.5753900766408515,0.006837602656595958,1.1089296734126495,Sun
62,frozenset({'Organic Avocado'}),frozenset({'Organic Strawberries'}),0.07394866193336974,0.10209357363917713,0.01095940287638813,0.1482028557360906,1.4516374581996179,0.0034097197137750316,1.054131764126492,Sun
0,frozenset({'Organic Avocado'}),frozenset({'Bag of Organic Bananas'}),0.07394866193336974,0.12958310577098126,0.010777352994720553,0.14574101427868044,1.1246914743365997,0.0011948557137861672,1.0189145315153527,Sun
67,frozenset({'Organic Baby Spinach'}),frozenset({'Organic Hass Avocado'}),0.09619515747314764,0.06906972510467868,0.013471691243400691,0.14004542013626042,2.0275948677081668,0.006827518160329107,1.0825342369161264,Sun
29,frozenset({'Banana'}),frozenset({'Organic Avocado'}),0.1713089386491899,0.07394866193336974,0.023302384853449844,0.13602550478214664,1.8394586355695015,0.010634318063116523,1.071850318721647,Sun
24,frozenset({'Banana'}),frozenset({'Large Lemon'}),0.1713089386491899,0.08086655743673767,0.023229564900782814,0.13560042507970244,1.6768418166654784,0.009376400774081532,1.0633201001377304,Sun
53,frozenset({'Large Lemon'}),frozenset({'Organic Strawberries'}),0.08086655743673767,0.10209357363917713,0.010449663207718915,0.12922107158937415,1.2657121009993442,0.002193707371104591,1.0311531400968912,Sun
36,frozenset({'Banana'}),frozenset({'Organic Strawberries'}),0.1713089386491899,0.10209357363917713,0.02166393591844165,0.12646121147715195,1.2386794483666113,0.004174394175411305,1.0278953129021098,Sun
30,frozenset({'Banana'}),frozenset({'Organic Baby Spinach'}),0.1713089386491899,0.09619515747314764,0.02151829601310759,0.12561105207226353,1.3057939232266156,0.005039205683190981,1.033641658747895,Sun
11,frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Raspberries'}),0.12958310577098126,0.050172947387584196,0.015983979610413254,0.1233492554088227,2.458481349639561,0.009482413262246053,1.083472589822945,Sun
72,frozenset({'Organic Strawberries'}),frozenset({'Organic Blueberries'}),0.10209357363917713,0.04463863098488986,0.012160932095394138,0.11911554921540657,2.6684409128883697,0.00760361473578623,1.0845478861207971,Sun
42,frozenset({'Banana'}),frozenset({'Strawberries'}),0.1713089386491899,0.056799563080284,0.020353176770435098,0.1188097768331562,2.0917375132837406,0.010622903903413935,1.0703709733977964,Sun
71,frozenset({'Organic Baby Spinach'}),frozenset({'Organic Zucchini'}),0.09619515747314764,0.04871654833424358,0.01095940287638813,0.11392884178652538,2.3386066066269953,0.006273106837827361,1.073597129133246,Sun
65,frozenset({'Organic Baby Spinach'}),frozenset({'Organic Cucumber'}),0.09619515747314764,0.04624066994356454,0.010922992900054615,0.11355034065102196,2.45563787872466,0.00647486437316958,1.07593174637451,Sun
57,frozenset({'Organic Baby Spinach'}),frozenset({'Limes'}),0.09619515747314764,0.058692881849626795,0.010449663207718915,0.10862982588947767,1.850817722118179,0.004803692195641217,1.056022677772096,Sun
63,frozenset({'Organic Strawberries'}),frozenset({'Organic Avocado'}),0.10209357363917713,0.07394866193336974,0.01095940287638813,0.10734664764621969,1.4516374581996179,0.0034097197137750316,1.0374142836351703,Sun
75,frozenset({'Organic Strawberries'}),frozenset({'Organic Cucumber'}),0.10209357363917713,0.04624066994356454,0.0108865829237211,0.10663338088445079,2.306051815741292,0.0061657076817129095,1.0676012620671638,Sun
52,frozenset({'Organic Strawberries'}),frozenset({'Large Lemon'}),0.10209357363917713,0.08086655743673767,0.010449663207718915,0.10235378031383738,1.2657121009993442,0.002193707371104591,1.0239372955690853,Sun
7,frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Cucumber'}),0.12958310577098126,0.04624066994356454,0.01285272164573093,0.0991851643720146,2.1449768027380953,0.0068607120215129725,1.0587740036403162,Sun
19,frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Zucchini'}),0.12958310577098126,0.04871654833424358,0.011651192426724922,0.08991289688114638,1.8456335671455049,0.005338350791131516,1.0452663798945436,Sun
27,frozenset({'Banana'}),frozenset({'Limes'}),0.1713089386491899,0.058692881849626795,0.014818860367740761,0.08650371944739638,1.4738366343813534,0.004764245071818893,1.0304443906229654,Sun
1,frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Avocado'}),0.12958310577098126,0.07394866193336974,0.010777352994720553,0.08316942961506041,1.1246914743365999,0.0011948557137861672,1.010057221017204,Sun
17,frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Yellow Onion'}),0.12958310577098126,0.04329146186054979,0.010595303113052977,0.0817645406012925,1.8886989971526482,0.004985461031796953,1.04189892510352,Sun
15,frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Whole Milk'}),0.12958310577098126,0.041980702712543234,0.01034043327871837,0.07979769598201741,1.900818491020042,0.00490044343877876,1.0410963905484147,Sun
4,frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Blueberries'}),0.12958310577098126,0.04463863098488986,0.010049153468050246,0.07754987355998876,1.7372816291395523,0.004264741027663462,1.0356780725935963,Sun
22,frozenset({'Banana'}),frozenset({'Honeycrisp Apple'}),0.1713089386491899,0.03506280720917532,0.012925541598397962,0.07545164718384698,2.1518997818321464,0.006918969309332975,1.043684940708237,Sun
44,frozenset({'Banana'}),frozenset({'Yellow Onions'}),0.1713089386491899,0.0388130347715274,0.012051702166393593,0.07035069075451647,1.8125532097305768,0.005402682373929131,1.0339242504343766,Sun
40,frozenset({'Banana'}),frozenset({'Seedless Red Grapes'}),0.1713089386491899,0.0369197160021846,0.011177862734389223,0.06524973432518597,1.7673411767665015,0.004853185370825468,1.0303075798566899,Sun
38,frozenset({'Banana'}),frozenset({'Organic Zucchini'}),0.1713089386491899,0.04871654833424358,0.010595303113052977,0.0618490967056323,1.269570583722116,0.002249722923261749,1.0139983325979574,Sun
20,frozenset({'Banana'}),frozenset({'Broccoli Crown'}),0.1713089386491899,0.03222282905516111,0.010522483160385945,0.061424017003188086,1.9062266971667354,0.005002424514672016,1.0311122258368357,Sun
34,frozenset({'Banana'}),frozenset({'Organic Fuji Apple'}),0.1713089386491899,0.02825414163480794,0.010449663207718915,0.060998937300743884,2.158937903305323,0.00560947619181608,1.0348719473988748,Sun
33,frozenset({'Banana'}),frozenset({'Organic Cucumber'}),0.1713089386491899,0.04624066994356454,0.010085563444383761,0.05887353878852285,1.273198222698252,0.0021641233539242254,1.0134231363856208,Sun
